id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.116131,10130142582,15,10130130223.0,300663855.0,0.117229,0.115668,-0.001097631055527099,-0.93632,-38373625.98929024,-0.37738,87291129201.0738,87291022703.3211,,0.231673,-49.81089,2018-01-05T00:00:00.000Z,0.00180434,6344.15125,2017-11-12T00:00:00.000Z,"{'times': 60.121584371437635, 'currency': 'usd', 'percentage': 6012.158437143763}",2024-06-14T12:33:14.176Z
chainlink,link,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1696502009,15.4,9045560410,16,15407189323.0,347067939.0,15.58,15.08,-0.10151079572684019,-0.65469,27879995.0,0.30917,587099971.3083414,1000000000.0,1000000000.0,52.7,-70.70462,2021-05-10T00:13:57.214Z,0.148183,10317.96207,2017-11-29T00:00:00.000Z,,2024-06-14T12:32:55.630Z
polkadot,dot,Polkadot,https://coin-images.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,6.39,8786017491,17,9302951926.0,188299705.0,6.58,6.31,-0.1890948074225287,-2.87499,-159519705.75287056,-1.78323,1375797777.38335,1456744264.02735,,54.98,-88.36152,2021-11-04T14:10:09.301Z,2.7,137.22143,2020-08-20T05:48:11.359Z,,2024-06-14T12:32:52.508Z
bitcoin-cash,bch,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,437.56,8622930073,18,9182979834.0,254949063.0,452.17,428.98,-10.242413263174683,-2.28728,-165463302.3257866,-1.88275,19719256.1466508,21000000.0,21000000.0,3785.82,-88.42575,2017-12-20T00:00:00.000Z,76.93,469.54735,2018-12-16T00:00:00.000Z,,2024-06-14T12:33:03.921Z
uniswap,uni,Uniswap,https://coin-images.coingecko.com/coins/images/12504/large/uni.jpg?1696512319,10.82,8145650509,19,10806594223.0,344823817.0,10.84,9.8,0.794624,7.92721,593394557.0,7.85718,753766667.0,1000000000.0,1000000000.0,44.92,-75.88701,2021-05-03T05:25:04.822Z,1.03,951.38752,2020-09-17T01:20:38.214Z,,2024-06-14T12:32:59.431Z
near,near,NEAR Protocol,https://coin-images.coingecko.com/coins/images/10365/large/near.jpg?1696510367,5.99,6512809902,20,7081394492.0,299479003.0,6.3,5.82,-0.31058651984726016,-4.92846,-260613530.00466824,-3.84759,1088240089.6863,1183246170.6779,,20.44,-70.64116,2022-01-16T22:09:45.873Z,0.526762,1039.10827,2020-11-04T16:09:15.137Z,,2024-06-14T12:33:04.450Z
litecoin,ltc,Litecoin,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,79.75,5947163986,21,6692842044.0,350879465.0,79.97,77.92,0.193933,0.24376,45790923.0,0.77594,74641201.9834713,84000000.0,84000000.0,410.26,-80.53893,2021-05-10T03:13:07.904Z,1.15,6849.68726,2015-01-14T00:00:00.000Z,,2024-06-14T12:33:08.105Z
matic-network,matic,Polygon,https://coin-images.coingecko.com/coins/images/4713/large/polygon.png?1698233745,0.608956,5650335610,22,6086793019.0,301758305.0,0.631395,0.601379,-0.022438564015647366,-3.55381,-155891947.88221264,-2.68491,9282943566.203985,10000000000.0,10000000000.0,2.92,-79.07516,2021-12-27T02:08:34.307Z,0.00314376,19310.62036,2019-05-10T00:00:00.000Z,"{'times': 230.5423826911176, 'currency': 'usd', 'percentage': 23054.23826911176}",2024-06-14T12:33:09.480Z
wrapped-eeth,weeth,Wrapped eETH,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,3653.5,5410324980,23,5410324980.0,22381676.0,3662.9,3577.08,9.36,0.2568,52433325.0,0.97862,1478690.03248973,1478690.03248973,,4196.87,-12.80862,2024-03-13T08:29:59.938Z,2231.18,64.0082,2024-01-08T03:35:28.624Z,,2024-06-14T12:32:44.094Z
dai,dai,Dai,https://coin-images.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,0.998016,5206281610,24,5206281610.0,349865184.0,1.007,0.99745,-0.00900975004197724,-0.89469,-77545386.85541248,-1.4676,5216633163.86437,5216633163.86437,,1.22,-17.93126,2020-03-13T03:02:50.373Z,0.88196,13.42477,2023-03-11T07:50:50.514Z,,2024-06-14T12:31:21.624Z
